stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3994,3994,"EB VRSTY DR@48 ST NW",,  51.093675,-114.156900,,,0
3995,3995,"EB CRESTMONT DR@CRESTHAVEN RI SW",,  51.082687,-114.265561,,,0
3996,3996,"NB 53 ST@VRSTY DR NW",,  51.092822,-114.164380,,,0
3997,3997,"NB 53 ST@VALIANT DR NW",,  51.090582,-114.164360,,,0
3998,3998,"WB 40 AV@52 ST NW",,  51.088341,-114.162469,,,0
3999,3999,"WB 40 AV@W OF SHAGANAPPI TR NW",,  51.088358,-114.156498,,,0
4000,4000,"Dalhousie LRT Station sb",,  51.103917,-114.159000,,,0
4001,4001,"Dalhousie LRT Station sb",,  51.104067,-114.158891,,,0
4002,4002,"Dalhousie LRT Station nb",,  51.104160,-114.158285,,,0
4003,4003,"Dalhousie LRT Station nb",,  51.104132,-114.158244,,,0
